      0.00000      1000.00         -NaN            -NaN            -NaN
      1000.00      2000.00      1.00633    0.0045205817   1.5491064e-06
      2000.00      3000.00     0.998888    0.0051432472   1.7624734e-06
      3000.00      4000.00     0.992570    0.0045557530   1.5609270e-06
      4000.00      5000.00     0.996447    0.0039587297   1.3556158e-06
      5000.00      6000.00      1.00639    0.0030183315   1.0351897e-06
      6000.00      7000.00      1.00293    0.0053245336   4.2299347e-06
      7000.00      8000.00      1.00146    0.0052547013   1.9958966e-06
      8000.00      9000.00      1.00510     0.013019756    0.0020848295
      9000.00      10000.0      1.01349     0.035963799    0.0087225027
      10000.0      11000.0      1.00142    0.0092238095    0.0030746032
      11000.0      12000.0     0.999558    0.0074886754    0.0020769849
      12000.0      13000.0     0.998499    0.0061308964   6.3004552e-05
      13000.0      14000.0     0.999309    0.0058427238   4.9785167e-06
      14000.0      15000.0     0.998302    0.0057527995   2.1546367e-06
      15000.0      16000.0     0.996301    0.0061641130   0.00032308730
      16000.0      17000.0      1.00919    0.0087960810    0.0021990202
      17000.0      18000.0      1.01677     0.025754975    0.0066499058
      18000.0      19000.0      1.02929     0.048274642     0.016091547
      19000.0      20000.0      1.01359     0.018889265    0.0077115099
      20000.0      21000.0      1.00359     0.012067685    0.0045611562
      21000.0      22000.0      1.00404    0.0069394458   0.00017348615
      22000.0      23000.0      1.00227    0.0067386548   6.0054160e-05
      23000.0      24000.0      1.00460    0.0064062321   1.1043143e-05
      24000.0      25000.0      1.00325    0.0063599679   3.0195109e-06
      25000.0      26000.0      1.00230    0.0062443273   3.2344044e-06
      26000.0      27000.0      1.00012    0.0064143595   0.00016862387
      27000.0      28000.0      1.01113     0.024887175    0.0054308267
      28000.0      29000.0      1.04489     0.043864421     0.013225620
      29000.0      30000.0      1.02177     0.017857404    0.0049527529
      30000.0      31000.0      1.01726    0.0073508973   0.00018599439
      31000.0      32000.0      1.01565    0.0071027591   7.4298109e-05
      32000.0      33000.0      1.01421    0.0073547622   0.00011763480
      33000.0      34000.0      1.01752    0.0066649875   9.0682368e-06
      34000.0      35000.0      1.01632    0.0066144803   3.6488037e-06
      35000.0      36000.0      1.01558    0.0065182089   3.0708602e-06
      36000.0      37000.0      1.01379    0.0063794427   1.5502040e-05
      37000.0      38000.0      1.01833     0.017302403    0.0019107307
      38000.0      39000.0      1.03535     0.046514533    0.0096989502
      39000.0      40000.0      1.01947    0.0076904997   0.00024079888
      40000.0      41000.0      1.01874    0.0073278102   0.00011469321
      41000.0      42000.0      1.01661    0.0076600008   8.1054806e-05
      42000.0      43000.0      1.02186    0.0073272044   9.5383989e-05
      43000.0      44000.0      1.02018    0.0068502848   1.0275721e-05
      44000.0      45000.0      1.01893    0.0068169999   4.6225587e-06
      45000.0      46000.0      1.01840    0.0067879293   3.8622462e-06
      46000.0      47000.0      1.01737    0.0066400074   3.9844131e-06
      47000.0      48000.0      1.01662    0.0070734300   4.6632706e-05
      48000.0      49000.0      1.01714    0.0093498982   0.00019081425
      49000.0      50000.0      1.02350    0.0070043771   2.1443991e-05
      50000.0      51000.0      1.02198    0.0069621086   7.9776983e-06
      51000.0      52000.0      1.02108    0.0068943851   4.5421892e-06
      52000.0      53000.0      1.02084    0.0068485463   4.1434105e-06
      53000.0      54000.0      1.01961    0.0067318547   3.9847707e-06
      54000.0      55000.0      1.01633    0.0070007312   6.4725047e-06
      55000.0      56000.0      1.01546    0.0069778406   4.5399710e-06
      56000.0      57000.0      1.01570    0.0070758059   4.1909265e-06
      57000.0      58000.0      1.01572    0.0073360017   4.3216710e-06
      58000.0      59000.0      1.01904    0.0070309163   4.8884142e-06
      59000.0      60000.0      1.01892    0.0070094485   4.5111637e-06
      60000.0      61000.0      1.01804    0.0068558537   3.7699550e-06
      61000.0      62000.0      1.01732    0.0069930528   5.6442594e-06
      62000.0      63000.0      1.01676    0.0070270205   4.7589002e-06
      63000.0      64000.0      1.01683    0.0078772920   4.8223805e-06
      64000.0      65000.0      1.04403     0.021369044   6.6363078e-06
